Basecamp,Program,Accomplishment Title,Accomplishment Description,Accomplishment Date,Milestone Title,Milestone Description,Milestone Physical Accomplishment,Milestone Financial Accomplishment,Milestone Date,Bottlenecks,Spillover Title,Spillover Description,Spillover Initial Target,Spillover New Target,Catch-up Activities Title,Catchup Activities Description,Catchup Activities Target Date
HROD Process Excellence,Performance Management for School Heads,Developed Tools on Performance Management and Evaluation System aligned with the Philippine Professional Standards fror School Heads,"The PMES-PPSSH  tools were designed and developed to operationalize the Philippine Professional Standards for School Heads, providing a structured framework for assessing and enhancing school head performance. These tools include competency-based indicators, key result areas, and corresponding means of verification, ensuring alignment between school outcomes and individual leadership practices. The tools serve as a practical guide for implementing performance management, facilitating evidence-based evaluation, and supporting professional growth and career progression in accordance with the professional standards for school  heads.",,,,,,,,Finalization Workshop of the draft PMES-PPSSH Tools with School Heads and its associated tools,Finalization  workshop to incorporate pilot testing feedback and formally finalize the PMES–PPSSH tools and associated instruments for implementation.,"December 2-5, 2025","April 27 to 30, 2026 ",,,
HROD Process Excellence,Quality Management System,ISO 9001:2015 Certificate Maintenance for 15 DepEd Regional Offices,"EO No. 605, s. 2007 titled Institutionalizing the Structure, Mechanisms, and Standards to Implement the Government Qulaity Management Program (GQMP) directs all departments and agencies of the Executive branch to adopt a QMS as part of the implementation of a government-wide quality management program. 

Pursuant to this and in consonance with the Department's thrust, DepEd deemed it necessary to establish a Quality Management System (QMS) that will allow for the integration of its internal systems and alignment of processes within and across governance levels, upgrading of people capacity, consistency in its delivery of quality services, and promotion of continuous improvement toward enhanced and sustained client satisfaction. ","July 21-August 6, 2025; 
September 8 & 10, 2025",Conduct of ISO 9001:2015 Third Party Audit for DepEd Regional Offices - 1st Surveillance Audit,,15 Audit Reports,"Procured ISO 9001:2015 Third Party Audit and Certifying Body -1st Surveillance Audit: Php 1,820,800.00

Conduct of ISO 9001:2015 Third Party Audit for DepEd Regional Offices - 1st Surveillance Audit: 
Php 532,000.00",,Conduct of third party audit is highly dependent on the procurement process,Inter-Region Internal Quality Audit for DepEd Regional Offices,"In April 2024, DepEd Regional offices (RO) were awarded with ISO 9001:2015 Certification after being audited and recommended as deemed compliant with the requirements of the mentioned standards. These ROs are Region I, II, III, IV-B, V, VI, VII, VIII, IX, X, Caraga, CAR, and NCR. 
These offices shall maintain this ISO 9001:2015 certification within its three-yeear audit cycle, with surveillance audits to be conducted every year. To sufficiently determine whether DepEd ROs are re-certifiable to ISO 9001:2015, a third-party auditor and certifying body shall conduct a surveillance audit in the ISO-certified Regional Offices. ",15 Audit Reports,d,,,
HROD Process Excellence,Quality Management System,ISO 9001:2015  Certificate Reissuance for NQMS Pilot Offices,"EO No. 605, s. 2007 titled Institutionalizing the Structure, Mechanisms, and Standards to Implement the Government Qulaity Management Program (GQMP) directs all departments and agencies of the Executive branch to adopt a QMS as part of the implementation of a government-wide quality management program. 

Pursuant to this and in consonance with the Department's thrust, DepEd deemed it necessary to establish a Quality Management System (QMS) that will allow for the integration of its internal systems and alignment of processes within and across governance levels, upgrading of people capacity, consistency in its delivery of quality services, and promotion of continuous improvement toward enhanced and sustained client satisfaction. ","October 15 & 20, 2025",Internal Quality Audit for NQMS Pilot Offices,"The IQA was conducted from March 24-28, 2025. The assigned IQA Teams conducted interviews and systematically examined the QMS Planning Documents and Operations Manual of the National Quality Management System (NQMS) Pilot Offices namely: DepEd Central Office, Regional Office IV-A CALABARZON, Schools Division Office of Biñan City, Biñan Integrated National High School, and Biñan Elementary School. Upon completion of the audit, the IQA Teams discussed the initial audit findings and issues with the offices through a closing meeting.",5 Audit Reports,"Php 54,366.01
",,,Training for Internal Quality Auditors for Pilot Offices,"DepEd Order (DO) No. 009, s. 2021, titled Institutionalization of a Quality Management System in the Department of Education, aims to integrate the Department’s internal processes, upgrade people’s capacity, ensure consistency in the delivery of quality services, and foster continuous process improvement that will result in enhanced and sustained client satisfaction. 

To ensure the effective and efficient implementation of the Quality Management System (QMS) in conformance with the requirements of ISO 9001:2015 and the National QMS (NQMS) Standards, Training for Internal Quality Auditors Pilot Offices will be conducted. ","December 16-19, 2025","January 27-30, 2026",,,
HROD Process Excellence,Quality Management System,ISO 9001:2015  Certificate Reissuance for NQMS Pilot Offices,"EO No. 605, s. 2007 titled Institutionalizing the Structure, Mechanisms, and Standards to Implement the Government Qulaity Management Program (GQMP) directs all departments and agencies of the Executive branch to adopt a QMS as part of the implementation of a government-wide quality management program. 

Pursuant to this and in consonance with the Department's thrust, DepEd deemed it necessary to establish a Quality Management System (QMS) that will allow for the integration of its internal systems and alignment of processes within and across governance levels, upgrading of people capacity, consistency in its delivery of quality services, and promotion of continuous improvement toward enhanced and sustained client satisfaction. ",,Conduct of ISO 9001:2015 Recertification Audit for DepEd NQMS Pilot Offices,"In April 2022, National Quality Management System (NQMS) Pilot Offices, namely DepEd Central Office, DepEd Region IV-A CALABARZON, Schools Division Office (SDO) of Biñan City, Biñan Integrated National High School (BINHS), and Biñan Elementary School (BES), were awarded ISO 9001:2015 certification. This certification has been successfully maintained over its three-year audit cycle (2022-2025) through annual internal and external audits. 

To maintain the conformity and effectiveness of the established management system and to uphold our commitment to delivering quality basic education services through efficient and continuously improving processes, a Recertification Audit for NQMS Pilot Offices was conducted in FY 2025. ",5 Audit Reports,"Procured ISO 9001:2015 Third Party Audit and Certifying Body - Recertification Audit for DepEd NQMS Pilot Offices:  Php 259,840.00

Conduct of ISO 9001:2015 Third Party Audit - Recertification (Certificate Maintenance) for DepEd NQMS Pilot Offices:
Php 33,330.36
",,Conduct of third party audit is highly dependent on the procurement process,,,,,,,
HROD Process Excellence,Quality Management System,Approved Procedures and Work Instructions Manual (PAWIM) for Quality Workplace,"Pursuant to DepEd Memorandum No. 068, s. 2025, dated August 11, 2025, which serves as an addendum to DepEd Memorandum No. 014, s. 2022, titled “The DepEd Quality Management System Manual, Procedures, and Work Instructions Manual (PAWIM),” the Department of Education seeks to standardize and harmonize the implementation of a quality‑driven workplace across all organizational levels. This issuance establishes uniform workplace standards and provides for an objective evaluation of their effectiveness, thereby promoting and sustaining quality working conditions in DepEd offices and schools.",45880,Training for the NQMS Quality Workplace Team - Batch 1,"The training aims to deepen participants’ understanding of quality workplace concepts, principles, and tools through structured calibration sessions designed to ensure consistent and effective application across all offices and schools. It further provides an orientation on the approved PAWIM for Quality Workplace to ensure uniform interpretation and implementation of established standards.

Additionally, the training facilitates the development of a comprehensive Quality Workplace Sustainability Plan that outlines the essential steps, timelines, and key milestones for the effective implementation and long-term maintenance of Quality Workplace Standards. Finally, it guides participants in crafting an actionable and operationally sound plan to support the efficient roll‑out and institutionalization of the Quality Workplace Program within their respective units.","1.) Completed the drafting of the Quality Workplace Sustainability Plan, which establishes the strategic framework, sustainability mechanisms, and monitoring indicators necessary to maintain and continuously enhance workplace quality standards across DepEd offices and schools.

2.) Oriented 40 Central Office personnel on the PAWIM for Quality Workplace","Php 113,400.00​","November 17-19, 2025","The extensive legal review required to ensure full compliance with existing laws, policies, and standards has resulted in disruptions to scheduled program roll‑outs that depend on the timely approval of the policy.",N/A,,,,N/A,,
HROD Process Excellence,Quality Management System,Approved Procedures and Work Instructions Manual (PAWIM) for Quality Workplace,"Pursuant to DepEd Memorandum No. 068, s. 2025, dated August 11, 2025, which serves as an addendum to DepEd Memorandum No. 014, s. 2022, titled “The DepEd Quality Management System Manual, Procedures, and Work Instructions Manual (PAWIM),” the Department of Education seeks to standardize and harmonize the implementation of a quality‑driven workplace across all organizational levels. This issuance establishes uniform workplace standards and provides for an objective evaluation of their effectiveness, thereby promoting and sustaining quality working conditions in DepEd offices and schools.",,Training for the NQMS Quality Workplace Team - Batch 2,,"1.) Completed the drafting of the Quality Workplace Sustainability Plan, which establishes the strategic framework, sustainability mechanisms, and monitoring indicators necessary to maintain and continuously enhance workplace quality standards across DepEd offices and schools.

2.) Oriented 60 participants from 16 Regional Offices on the PAWIM for Quality Workplace",,"December 8-11, 2025",,N/A,,,,N/A,,
Prioritization Index for Education Facilities Allocation,Special Hardship Allowance (SHA),Issued DM-OUHROD-2025-1060 Advisory on the Provision of SHA for FY 2025,"Affirms the validity of the DepEd Memorandum 045, s. 2024 as the current guidelines for SHA for FY 2025","April 25, 2025",Deskwork,same with Column C,1,None,"April 25, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prioritization Index for Education Facilities Allocation,Special Hardship Allowance (SHA),Draft Revised DepEd Order and JC,"The current proposal for the Revised Guidelines on SHA seeks to implement the following key improvements in FY 2026:

1. Enhancement of the targeting system, including the refinement of measures and indicators used;

2. Expansion of the hardship variables applied in the computation of the Hardship Index (HI); and

3. Strengthening of the validation process for school-level data to ensure accuracy and reliability.",January-December 2025,DBM-DepEd Interface Meeting,"This interface meeting is convened in relation to the ongoing revision of the current Special Hardship Allowance (SHA) guidelines. Its objective is to deliberate on the proposed revisions and agree on the way forward for the SHA Policy and DepEd–DBM Joint Circular No. 1, s. 2021, with particular focus on the following:

1. Salient amendments to DepEd–DBM Joint Circular No. 1, s. 2021;
2. Proposed revisions to the existing DepEd Order on SHA; and
3. Other related matters and identified ways forward",1,None,"June 18, 2025",None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prioritization Index for Education Facilities Allocation,Special Hardship Allowance (SHA),Draft Revised DepEd Order and JC,,,Request for comments on the draft revised policy - Region and Division,"The request for comments on the draft revised policy is issued to Regional and Division Offices to solicit technical inputs, operational insights, and recommendations based on their implementation experience. This process ensures that the revised policy is clear, responsive to field realities, and aligned with existing systems and capacities prior to finalization and approval.",1,None,May-August 2025,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prioritization Index for Education Facilities Allocation,Special Hardship Allowance (SHA),Draft Revised DepEd Order and JC,,,Request for comments on the draft revised policy - Region and Division,"The request for comments on the draft revised policy is issued to Regional and Division Offices to solicit technical inputs, operational insights, and recommendations based on their implementation experience. This process ensures that the revised policy is clear, responsive to field realities, and aligned with existing systems and capacities prior to finalization and approval.",1,None,November-December 2025,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prioritization Index for Education Facilities Allocation,Special Hardship Allowance (SHA),Draft Revised DepEd Order and JC,,,Field validation on the school’s hardship data (Phase 1 and Phase 2),"This undertaking aims to strengthen the accuracy and validity of the latest school-level data obtained from the Enhanced Basic Education Information System (EBEIS), School Year 2023–2024. It seeks to prevent data inaccuracies, including but not limited to input errors, inconsistencies, and missing information, which may significantly affect the determination of hardship posts.",2,None,April-December 2025,"Heavy and simultaneous workload of the RO and SDO personnel, particularly Planning Officers",N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Opportunities in DepEd for SHS Graduates,SHS Employability to the Philippine Public Sector,"Issuance of CSC Resolution No. 2500229 and CSC MC No. 7, s. 2025","This program seeks to support SHS graduates' employability through the review and alignment of SHS learning outcomes with employment requirements, particularly in public service, in coordination with the Civil Service Commission. 
","July 15, 2025
",|,Submission of DepEd's proposal on amending the education requirement of ‘at least two (2) years of college education’ to ‘high school graduate’ under Republic Act No. 10533 (Enhanced Basic Education Act of 2013),1,N/A,14-Aug-19,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Career Opportunities in DepEd for SHS Graduates,SHS Employability to the Philippine Public Sector,"Issued DM No. 102, s. 2025 or the Dissemination of CSC MC No. 07, s. 2025
 Amendment to the Education Requirements of First Level Positions in the Government",,"November 19, 2025
","Participated in inter-agency meetings with CHED, TESDA, CSC, and EDCOM II","Actively participated in inter-agency meetings convened by the EDCOM II, contributing to collaborative technical deliberations and policy discussions with CHED, TESDA, and CSC ",,N/A,,,,,,,,,
Other PAPs,School Governance Council,DM-OUHROD-2025-0349: SGC OF THE ENDLINE DATA COLLECTION,"Following a thorough analysis of the SGC Endline Data Collection, results showed that across the 217 divisions  and 16 regions, 94% participated in the endline data collection, and 49% having functional SGCs.",45699,"Data Verification through series of online Interview with Select SGCs, in partnership with Asian Development Bank ","Relative to the verification protocol of the SESP Loan Agreement, the Asian Development Bank assists the BHROD-SED in the data verification and analysis of the results of the Endline Data Collection",25,N/A,"



May 6-7, 2024",,,,,,,,
Other PAPs,School Governance Council,"DM-OUHROD-2025-1774: RELEASE OF SGC ADVOCACY MATERIAL: TO-DO CALENDAR
","To strengthen the implementation of School Governance Councils (SGCs), the Bureau of Human Resource and Organizational Development – School Effectiveness Division (BHROD-SED) has developed the SGC To-Do Calendar. This tool is thoughtfully crafted to serve as a practical guide for building and sustaining a functional SGC. It helps councils stay organized, aligned with the school’s goals, and focused on continuous school improvement.",45838,Production of the SGC To-Do Calendar (for Schools with no existing SGC and with existing SGC),same with Column C,2,N/A,"June, 2024",,,,,,,,
Other PAPs,School Governance Council,SGC Testimonials,"To highlight the impact of the SGC, the BHROD-SED utilized its official Facebook platform to showcase real experiences, insights, and positive outcomes shared by stakeholders and implementers of the SGC.",Sep-Dec 2025,Development and Posting of SGC Testimonial Infographics via Facebook,same with Column C,36,N/A,September-December 2025,,,,,,,,
Other PAPs,School Governance Council,DM-OUHROD-2025-2706:Conduct of Technical Assistance Workshop on SGC (Batch 1-6),"To provide targeted support for sustainable SGCs to all school TA providers, from RO and SDOs, the BHROD-SED shall conduct series of TA workshops. ",Nov-Dec 2025,"Conduct of Technical Assistance Workshop on SGC (Batch 1)
Conduct of Technical Assistance Workshop on SGC (Batch 2)
Conduct of Technical Assistance Workshop on SGC (Batch3)
Conduct of Technical Assistance Workshop on SGC (Batch 4)
Conduct of Technical Assistance Workshop on SGC (Batch 5)
Conduct of Technical Assistance Workshop on SGC (Batch 6)",same with Column C,6,"Php 427, 260.1 (69.19%)
Php 440,462.1 (57.43%)
Php 576,195.00 (55.84%)
Php 532,100.00 (55.15%)
Php 409,500.00 (40.47%)
Php 425, 200.00 (58.12%)",November-December 2025,"1. During the conduct of the cluster 3 workshop, multiple behaviors disrupted the flow of sessions, negatively affected the learning environment, and, at certain points, were disrespectful toward the facilitators.

2. Some participants requested a re-orientation; this matter has been referred to the Regional Office Focals.",,,,,,,
Other PAPs,School-Based Management - School Innovation and Improvement Fund (SIIF),"DepEd Memorandum No. 73, s. 2025, e of the Undersecretary for Finance (OUF), Allocation and Release of the School Innovation and Improvement Fund to Eligible Public Schools to Strengthen Decentralization and Accelerate Literacy Interventions of the Department of Education for Fiscal Year 2025","In line with the DepEd's commitment to operationalize decentralization at the school level, the SIIF provides non-implementing public schools in the 4th and 5th-class municipalities with supplemental MOOE, primarily aimed at improving learner performance while mitigating the effects of inequities in accessing education resources. ",45898,CONDUCT OF THE ONLINE ORIENTATION ON THE ALLOCATION AND RELEASE OF THE SCHOOL INNOVATION AND IMPROVEMENT FUND TO ELIGIBLE PUBLIC SCHOOLS TO STRENGTHEN DECENTRALIZATION AND ACCELERATE LITERACY INTERVENTIONS OF THE DEPARTMENT OF EDUCATION FOR FISCAL YEAR (FY) 2025 ,"These activities are requisites for the effective and efficient implementation of the SIIF policy. They are specifically targeting the concerned Regional and Division Office focal persons, who shall in turn, serve as technical assistance providers to SIIF recipient schools.

 ",1,N/A,45903,,,,,,,,
Other PAPs,School-Based Management - School Innovation and Improvement Fund (SIIF),"DM-OUHROD-OUF-2025-2449, General Process Flow for the Monitoring of the Physical Accomplishment and Budget Utilization of the School Innovation and Improvement Fund for FY 2025",,45902,"DEVELOPMENT OF SIIF ONLINE TOOLS, RE:
VALIDATION AND UTILIZATION MONITORING TOOL AND THE SIIF USER GUIDE",,3,N/A,45902,,,,,,,,
Other PAPs,School-Based Management - School Innovation and Improvement Fund (SIIF),"DM-OUHROD-OUF-2025-2449, General Process Flow for the Monitoring of the Physical Accomplishment and Budget Utilization of the School Innovation and Improvement Fund for FY 2026",,,CONDUCT OF VIRTUAL PROGRESS MONITORING ON THE IMPLEMENTATION OF THE FY 2025 SCHOOL INNOVATION AND IMPROVEMENT FUND (SIIF),,4,N/A,"September 16, 2025
October  21, 2025
November 18, 2025
December 9, 2025",,,,,,,,
Other PAPs,School-Based Management - School Innovation and Improvement Fund (SIIF),"DM-OUHROD-OUF-2025-2449, General Process Flow for the Monitoring of the Physical Accomplishment and Budget Utilization of the School Innovation and Improvement Fund for FY 2027",,,MONITORING OF THE DIVISION-LEVEL APPROVAL OF SIIF SCHOOL PROPOSALS FOR LEARNING INTERVENTIONS,,3806/4043  or 94.14%,N/A,46009,,,,,,,,
Other PAPs,School-Based Management - School Innovation and Improvement Fund (SIIF),"DM-OUHROD-OUF-2025-2449, General Process Flow for the Monitoring of the Physical Accomplishment and Budget Utilization of the School Innovation and Improvement Fund for FY 2028",,,MONITORING OF UTILIZATION OF THE SIIF,,N/A,"PHP 371,653,000/PHP 219,178,582.02 or 54.86%",46009,,,,,,,,
Other PAPs,Teacher Workload,Issuance of Advocacy Materials,The advocacy materials aim to improve the awareness and understanding of stakeholders to teacher workload policies,2nd-3rd Quarters,"DM-OUHROD-2025-1641: TEACHER WORKLOAD POLICY TOOLKIT FOR DEPED ORDERS NOS. 002 AND 005, s. 2024","This policy toolkit is intended as a practical reference for school heads and school personnel to understand the key provisions of the teacher workload policies and ensure their effective implementation. It includes step-by-step guides, sample templates,
frequently asked questions, and illustrative scenarios to support implementation. Further, the toolkit also provides for a Teaching Load Simulator for Pilot Schools implementing the Strengthened SHS Curriculum.",1 Policy Toolkit,N/A,"June 25, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other PAPs,Teacher Workload,Issuance of Advocacy Materials,The advocacy materials aim to improve the awareness and understanding of stakeholders to teacher workload policies,,"Publication of Advocacy Materials for Teaching Overload: 
Teaching Overload Pay: What You Need To Know","To raise public awareness and understanding of the teaching overload policy, particularly among school heads and teachers, and to encourage eligible teachers to avail and claim teaching overload pay—ultimately increasing the utilization rate of teaching overload funds.",2 Sets of Advocacy Materials,N/A,45931,,,,,,,,
Other PAPs,Teacher Workload,Immediate Policy Monitoring and Evaluation Activities,The activities are conducted to identify initial gains and challenges to formulate actionable solutions to improve policy implementation,Jan-Dec,Quarterly Utilization Report for Honoraria for Teaching Overload,Quarterly monitoring of physical and financial accomplishment of the GAA line item for the payment of Honoraria for Teaching Overload,"Utilization Report as of 3rd Quarter, FY 2025:

Physical (based on partial reports from Field Offices as of Dec 15, 2025): 
1,510 Teachers ","Utilization Report as of 3rd Quarter, FY 2025:

Financial (based on SAAODB from FS-BD)
Adj. Allotment: 
PhP 451,908,748.68
Obligation: 
PhP 5,223,300.76
Disbursement: 
PhP 4,984,295",Quarterly,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other PAPs,Teacher Workload,Immediate Policy Monitoring and Evaluation Activities,The activities are conducted to identify initial gains and challenges to formulate actionable solutions to improve policy implementation,,Conducted Consultation Workshop on the Implementation Status of Teacher Workload Policies,"To examine the level of understanding and awareness of participants regarding the parameters, standards, and procedures outlined in the teacher workload policies.

To assess the current implementation status of the teacher workload policies, highlighting both initial gains and key challenges or barriers encountered.

To generate actionable insights that will guide the refinement of DepEd Orders Nos. 002 and 005, s. 2024, and inform the development of support mechanisms to sustain and scale reform efforts across all governance levels",40 School Heads consulted,N/A,"November 17-21, 2025",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other PAPs,Adoption of New  DepEd National Uniform Designs and Guidelines,"Issuance of DepEd Memorandum  No. 28, s. 2025 (Guidelines on the Implementation of New DepEd National Uniform Designs for Classroom and Office-Based Personnel)",,45740,,,,,,,,,,,,,
Other PAPs,Provision of Teaching Allowance,"Issuance of DepEd Order No. 5, s. 2025 (Additional Implementing Guidelines on the Grant of Teaching Allowance under the Kabalikat sa Pagtuturo Act)",,45736,Conducted online orientation with field personnel ,,,,,,,,,,,,
Other PAPs,Provision of Teaching Allowance,"Issuance of DepEd Order No. 5, s. 2025 (Additional Implementing Guidelines on the Grant of Teaching Allowance under the Kabalikat sa Pagtuturo Act)",,,Conducted online orientation with CO personnel ,,,,,,,,,,,,
Other PAPs,Provision of Teaching Allowance,"Issuance of DepEd Order No. 5, s. 2025 (Additional Implementing Guidelines on the Grant of Teaching Allowance under the Kabalikat sa Pagtuturo Act)",,,Implementation and Release of Teaching Allowance to all eligible teaching personnel,,954810,"Php 712,727,000.00",45975,,,,,,,,
Other PAPs,Provision of WTDIB,Release of the Incentive during the WTD,,45935,Release of WTDIB  to all eligible teaching personnel,,954810,"Php 7,764,818,093.25",45975,,,,,,,,
Other PAPs,Provision of Medical Allowance,"Issuance of DepEd Order No. 16, s. 2025 (Guidelines on the Grant of the Medical Allowance to DepEd Personnel)",," June 9, 2025",Conducted online orientation with field personnel ,,,,,,,,,,,,
Other PAPs,Provision of Medical Allowance,"Issuance of DepEd Order No. 16, s. 2025 (Guidelines on the Grant of the Medical Allowance to DepEd Personnel)",,,Conducted online orientation with CO personnel ,,,,,,,,,,,,
Other PAPs,Provision of Medical Allowance,"Issuance of DepEd Order No. 16, s. 2025 (Guidelines on the Grant of the Medical Allowance to DepEd Personnel)",,,Implementation and Release of Medical Allowance to all eligible personnel,,991618," Php 6,214,585,000.00",45975,,,,,,,,
Other PAPs,Inclusive Employment Policy Development ,"Issuance of DepEd Order No. 030, s. 2025 (Inclusive Employment Policy in the Department of Education)","The policy serves as one of the drivers to mainstream inclusion in the Department, particularly in areas of human resource, infrastructure, leadership and governance, organizational culture and capacity. It serves as a general policy in defining inclusive concepts in the context of DepEd.

It also establishes a mechanism to integrating an inclusive mindset and inclusive polices, systems, and practices through the Inclusion Governance System (IGS). It also mandates and sets a timeline in developing inclusive practice, and ensuring monitoring and evaluation of inclusive polices, systems, and practices by defining the four (4) stages of inclusion journey.",45929,"The official launching of the IE policy was conducted in partnership with The Asia Foundation (TAF) on November 25, 2025, at the Marco Polo Ortigas.","The official launch aimed at informing the DepEd community and the general public about the Department's initiatives in promoting inclusion and non-discrimination in all aspects of human resource, including key areas such as infrastructure, leadership and governance, organizational culture and capacity. This event was attended by SJEA, Australian Embassy representative, select ExeCom members, select CO Directors, Regional Directors and/or their representatives, TAF representatives, key sectors representatives, and select CSOs and DepEd employees' associations. ",1,DepEd fund was not utilized as the event was sponsored by TAF.,45986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Other PAPs,Enhance PRAISE Policy Development,,,,,,,,,,,,,,,,
Other PAPs,DepEd Employee Mental Health Policy Development,DM-OUHROD-2025-1255: National Technical Working Group (NTWG) for the Drafting of DepEd Employee Mental Health Policy (DEMHP),"The NTWG for the drafting of DEMHP, composed of representatives from various Field Offices and BHROD Divisions, was established to provide substantive inputs and facilitate the policy development ",45796,"DM-OUHROD-2025-2009: Online Consultation Workshop for the Development of DepEd Employee Mental Health Policy (DEMHP)
","The online consultation workshop was conducted to gather insights into the mental health needs of DepEd employees. It sought to identify challenges, gaps, and potential areas for improvement in the department's existing mental health initiatives",1,"Php 115,500.00","September 2 - 4, 2025","Due to the online nature of the activity, field office participants struggled to maintain focus on the workshop sessions. Many faced challenges such as multitasking, which limited their ability to contribute significantly. Technical issues, including intermittent internet connectivity, caused frequent disconnections, while other participants remained virtually present but inactive. Collectively, these obstacles hindered the Project Management Team (PMT) from gathering substantive input.",N/A,N/A,N/A,N/A,Part 1: Nationwide Survey on Mental Health,"To address the identified bottlenecks, the BHROD-EWD, through the OUHROD, issued a Memorandum requesting the participation of all DepEd personnel in the Nationwide Survey on Mental Health. The information collected was slated for subsequent analysis and validation. Preliminary findings were intended to guide the BHROD-EWD in organizing targeted Focus Group Discussions (FGDs) for 2026",2026 (Ongoing)
Other PAPs,DepEd Employee Mental Health Policy Development,DM-OUHROD-2025-1255: National Technical Working Group (NTWG) for the Drafting of DepEd Employee Mental Health Policy (DEMHP),"The NTWG for the drafting of DEMHP, composed of representatives from various Field Offices and BHROD Divisions, was established to provide substantive inputs and facilitate the policy development ",,,,,,,,,,,,Part 2: Focus Group Discussion with Teaching and Non-Teaching Personnel,"Guided by the part 1 survey results, the FGDs will validate the quantitative findings and provide a qualitative avenue to directly hear from participants about their current mental health status and related experiences. To avoid any disruption to classes, the Project Management Team will conduct the FGDs directly on-site (ROs, SDOs, and Schools) and will only interview personnel who are vacant at the time of their visit.",2nd Quarter of 2026
Other PAPs,DepEd GAD Agenda Policy Development,,,,,,,,,,,,,,,,
Other PAPs,GAD-Mandated Programs,,,,,,,,,,,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Procurement of Loyalty Tokens (2023-2024) ,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Procurement of Loyalty Token (2025) ,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Procurement of Salamat Mabuhay Items (2023-2024) ,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Procurement of Salamat Mabuhay Items (2025) ,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Procurement of Salu Salo GC (2025) ,,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,"Salamat, Mabuhay Send Off (2023-2024)",,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,"Salamat, Mabuhay Send Off (2025) ",,,,,,
Other PAPs,CO PRAISE Programs,,,,,,,,,,Loyalty Conferment (2024-2025),,,,,,
Other PAPs,Wellness Programs,,,,,,,,,,Procurement of Vaccines ,,,,,,
Other PAPs,Implementation of RA 11032 in DepEd,Implementation of RA 11032 in DepEd,"Since the enactment of Republic Act (RA) No. 11032, also known as the Ease of Doing Business and Efficient Government Service Delivery Act of 2018, DepEd has remained committed to ensuring compliance with key provisions, including the Citizen’s Charter (CC), Client Satisfaction Measurement (CSM), Zero Backlog Program, Report Card Survey (RCS) 2.0, and the Committee on Anti-Red Tape (CART). The BHROD-OED conducts various activities to ensure that DepEd remains compliant to the Law across all its governance levels, thereby promoting continuity of of efficient and transparent service delivery towards client satisfaction.",January - December 2025,FY 2025 Refresher Training on the Implementation of RA 11032 in DepEd and Launching of the RA 11032 Module in LMS,"The BHROD-OED conducted an online refresher training on August 8, 2025 via Microsoft Teams. The activity, which aims to provide a refresher on the salient points of RA 11032, was participated in by the DepEd SubCART members from the central, regional, and schools division offices.  The refresher training was divided into two key segments: the first part featured resource persons from ARTA as they discussed the salient points of RA 11032; the second part focused on the discussion on the compliance of field offices to the CC and CSM, and the launching of the RA 11032 Module under the DepEd’s Learning Management System (LMS). 

Additionally, IEC materials were distributed to promote awareness on RA 11032 in DepEd. ",1,,45877,,Writeshop to Review Regional Office and Schools Division Office Citizen’s Charters for Internal Services,"This activity aims to assess the applicability and relevance of the service charters currently documented in the Citizen’s Charter and to update them as necessary in preparation for the drafting of the DepEd Citizen's Charter 2026 edition, which will be submitted to the Anti-Red Tape Authority by March 31, 2026.","November 27-30, 2025","January 27-30, 2026",Pre-Work Session,"The Pre-Work Session will be conducted to:
- review the applicability of external services declared in DepEd CC 2025;
- check the alignment of existing external services to QMS declared processes;
- identify new external services;
- finalize list of external services for DepEd CC 2026; and,
- write the initial draft of service charters for DepEd CC 2026.",46038
